Crop,Year,Value,Unit
Soybeans,1980,81.040368,Mt
Soybeans,1990,108.456443,Mt
Soybeans,2000,161.30838319999998,Mt
Soybeans,2010,265.08842876,Mt
Soybeans,2020,355.87164655000004,Mt
